year,state,abbr,electors,d_pv,r_pv,margin,pl,pl_lag1,pl_lag2,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb,incumb_party,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,pop_norm,hsa_adjustment,rsa_adjustment,elasticity,elasticity_lag1,elasticity_lag2,weighted_avg_approval,poll_margin_0,poll_margin_1,poll_margin_2,poll_margin_3,poll_margin_4,poll_margin_5,poll_margin_6,poll_margin_7,poll_margin_8,poll_margin_9,poll_margin_10,poll_margin_11,poll_margin_12,poll_margin_13,poll_margin_14,poll_margin_15,poll_margin_16,poll_margin_17,poll_margin_18,poll_margin_19,poll_margin_20,poll_margin_21,poll_margin_22,poll_margin_23,poll_margin_24,poll_margin_25,poll_margin_26,poll_margin_27,poll_margin_28,poll_margin_29,poll_margin_30,poll_margin_31,poll_margin_32,poll_margin_33,poll_margin_34,poll_margin_35,poll_margin_36,cpr_rating,cpr_solid_d,cpr_likely_d,cpr_lean_d,cpr_toss_up,cpr_lean_r,cpr_likely_r,cpr_solid_r,poll_margin_nat_0,poll_margin_nat_1,poll_margin_nat_2,poll_margin_nat_3,poll_margin_nat_4,poll_margin_nat_5,poll_margin_nat_6,poll_margin_nat_7,poll_margin_nat_8,poll_margin_nat_9,poll_margin_nat_10,poll_margin_nat_11,poll_margin_nat_12,poll_margin_nat_13,poll_margin_nat_14,poll_margin_nat_15,poll_margin_nat_16,poll_margin_nat_17,poll_margin_nat_18,poll_margin_nat_19,poll_margin_nat_20,poll_margin_nat_21,poll_margin_nat_22,poll_margin_nat_23,poll_margin_nat_24,poll_margin_nat_25,poll_margin_nat_26,poll_margin_nat_27,poll_margin_nat_28,poll_margin_nat_29,poll_margin_nat_30,poll_margin_nat_31,poll_margin_nat_32,poll_margin_nat_33,poll_margin_nat_34,poll_margin_nat_35,poll_margin_nat_36,poll_lean_1,poll_lean_2,poll_lean_3,poll_lean_4,poll_lean_5,poll_lean_6,poll_lean_7,poll_lean_8,poll_lean_9,poll_lean_10,poll_lean_11,poll_lean_12,poll_lean_13,poll_lean_14,poll_lean_15,poll_lean_16,poll_lean_17,poll_lean_18,poll_lean_19,poll_lean_20,poll_lean_21,poll_lean_22,poll_lean_23,poll_lean_24,poll_lean_25,poll_lean_26,poll_lean_27,poll_lean_28,poll_lean_29,poll_lean_30,poll_lean_31,poll_lean_32,poll_lean_33,poll_lean_34,poll_lean_35,poll_lean_36
1952,Alabama,AL,11,64.55341218,35.020886141288315,29.53252603871168,40.03269924904388,NA,NA,64.82939199,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,3068000,50750,0.1923256278728932,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Arizona,AZ,4,41.65022835,58.34977165,-16.699543300000002,-6.199370089667802,NA,NA,41.65022835,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,842000,113642,0.04403437479181933,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Arkansas,AR,8,55.9041502,43.76358695746107,12.140563242538924,22.640736452871124,NA,NA,56.09051815,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,1838000,52075,0.11038571714076344,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,California,CA,32,42.26532747,56.82913911741385,-14.56381164741385,-4.06363843708165,NA,NA,42.65155152,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,1,0,0,0,11635000,155973,0.7630404370128573,1.3105465339619349,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Colorado,CO,6,38.96251883,60.27300299261741,-21.310484162617417,-10.810310952285217,NA,NA,39.2626734,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1365000,103730,0.07887549130637532,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Connecticut,CT,8,43.90957881,55.70296951001867,-11.79339070001867,-1.2932174896864694,NA,NA,44.08036894,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,2081000,4845,0.12657384584637932,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Delaware,DE,3,47.87530527,51.75061053109951,-3.8753052610995127,6.624867949232687,NA,NA,48.0550717,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,341000,1955,0.0106588501765372,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Florida,FL,10,44.97456377,54.98995791591189,-10.015394145911884,0.4847790644203158,NA,NA,44.99052565,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3157000,53997,0.19825461328359203,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Georgia,GA,12,69.65857125,30.34127626361372,39.31729498638627,49.81746819671847,NA,NA,69.65867747,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,3584000,57919,0.2267004196922257,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Idaho,ID,4,34.42082894,65.41879802191318,-30.997969081913176,-20.497795871580976,NA,NA,34.47611934,44.37787914,54.8780523503322,-10.5001732103322,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,587000,82751,0.02704683232296316,0,0,1,NA,NA,30.43464261580194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
